numar_factura,numar_comanda,cod_articol,id_cantitate
2400000000,2017177,1051602,1||2017177||8||29
2400000000,2017177,1221791,1||2017177||2||9
2400000000,2017177,1221792,1||2017177||2||8
2400000000,2017177,2305039,1||2017177||2||12
2400000000,2017177,2345819,1||2017177||6||25
2400000000,2017177,2532314,1||2017177||5||21
2400000000,2017177,2822409,1||2017177||7||27
2400000000,2017177,2830954,1||2017177||7||28
2400000000,2017177,2840312,1||2017177||4||19
2400000000,2017177,3155734,1||2017177||4||6
2400000000,2017177,3213496,1||2017177||7||26
2400000000,2017177,3223507,1||2017177||2||11
2400000000,2017177,3246991,1||2017177||6||24
2400000000,2017177,3286618,1||2017177||2||7
2400000000,2017177,3787268,1||2017177||2||10
2400000000,2017177,5452380,1||2017177||5||20
2400000000,2017177,6152317,1||2017177||1||4
2400000000,2017177,6152576,1||2017177||3||15
2400000000,2017177,6152577,1||2017177||3||16
2400000000,2017177,6152578,1||2017177||3||18
2400000002,2037212,6153807,1||2037212||1||3
2400000002,2037212,6153808,1||2037212||1||4
2400000011,1992020,3194035,1||1992020||1||1
2400000013,1998644,6002469,1||1998644||1||1
2400000023,2046226,1602127,1||2046226||1||2
2400000023,2046226,1610348,1||2046226||1||1
2400000037,2055184,2812350,1||2055184||2||8
2400000039,2055566,3211841,1||2055566||2||10
2400000040,2056238,5030618,1||2056238||1||1
2400000046,2056871,4995175,1||2056871||1||5
2400000046,2056871,5726643,1||2056871||1||6
2400000053,2060965,3208891,1||2060965||1||1
2400000057,2035893,204675,1||2035893||2||9
2400000057,2035893,1051602,1||2035893||2||11
2400000057,2035893,1051603,1||2035893||2||10
2400000057,2035893,1949741,1||2035893||8||22
2400000057,2035893,2265490,1||2035893||16||36
2400000057,2035893,2349800,1||2035893||2||3
2400000057,2035893,2575190,1||2035893||2||7
2400000057,2035893,2821801,1||2035893||8||21
2400000057,2035893,2840312,1||2035893||12||32
2400000057,2035893,2842649,1||2035893||2||8
2400000057,2035893,3152530,1||2035893||15||34
2400000057,2035893,3155451,1||2035893||4||18
2400000057,2035893,3155452,1||2035893||4||17
2400000057,2035893,3156185,1||2035893||4||16
2400000057,2035893,3160557,1||2035893||14||29
2400000057,2035893,3223507,1||2035893||2||4
2400000057,2035893,3289002,1||2035893||9||25
2400000057,2035893,3290866,1||2035893||14||30
2400000057,2035893,4986900,1||2035893||2||5
2400000057,2035893,6002515,1||2035893||3||14
2400000057,2035893,6002516,1||2035893||3||13
2400000057,2035893,6002517,1||2035893||3||12
2400000057,2035893,6153524,1||2035893||1||1
2400000057,2035893,6153525,1||2035893||1||2
2400000057,2035893,6153893,1||2035893||5||15
2400000057,2035893,6153909,1||2035893||4||19
2400000057,2035893,6153912,1||2035893||4||20
2400000057,2035893,6153958,1||2035893||7||23
2400000057,2035893,6158747,1||2035893||11||31
2400000057,2035893,6160362,1||2035893||13||33
2400000057,2035893,6196613,1||2035893||16||38
2400000057,2035893,6196614,1||2035893||16||37
2400000062,2065192,4921,1||2065192||2||9
2400000062,2065192,5066,1||2065192||2||2
2400000062,2065192,6155,1||2065192||2||4
2400000062,2065192,6163,1||2065192||2||5
2400000062,2065192,6387,1||2065192||2||3
2400000062,2065192,6666,1||2065192||2||7
2400000062,2065192,7098,1||2065192||2||8
2400000062,2065192,7287,1||2065192||2||10
2400000062,2065192,8201,1||2065192||2||1
2400000062,2065192,9870,1||2065192||2||6
4011000011035459,2067211,4921,1||2067211||1||9
4011000011035459,2067211,5066,1||2067211||1||2
4011000011035459,2067211,6155,1||2067211||1||4
4011000011035459,2067211,6163,1||2067211||1||5
4011000011035459,2067211,6387,1||2067211||1||3
4011000011035459,2067211,6666,1||2067211||1||7
4011000011035459,2067211,7098,1||2067211||1||8
4011000011035459,2067211,7287,1||2067211||1||10
4011000011035459,2067211,8201,1||2067211||1||1
4011000011035459,2067211,9870,1||2067211||1||6
2400000065,2068570,2220115,1||2068570||1||1
2400000088,2081611,6821,1||2081611||1||1
2400000088,2081611,8307,1||2081611||1||6
2400000088,2081611,8686,1||2081611||1||2
2400000088,2081611,8687,1||2081611||1||3
2400000088,2081611,1196067,1||2081611||1||5
2400000088,2081611,2086515,1||2081611||1||4
2400000088,2081611,2366227,1||2081611||1||7
2400000091,2072663,6211396,1||2072663||1||1
2400000095,2087946,3157698,1||2087946||1||3
2400000095,2087946,3456163,1||2087946||1||4
2400000095,2087946,6220230,1||2087946||1||6
2400000101,2090258,3102354,1||2090258||1||1
2400000102,2090176,1608791,1||2090176||1||1
2400000105,2091827,1611654,1||2091827||2||3
2400000106,2063774,213854,1||2063774||19||41
2400000106,2063774,213854,1||2063774||20||41
2400000106,2063774,2250020,1||2063774||20||50
2400000106,2063774,2306899,1||2063774||4||9
2400000106,2063774,2574832,1||2063774||6||26
2400000106,2063774,2792590,1||2063774||3||11
2400000106,2063774,2816536,1||2063774||4||7
2400000106,2063774,2816537,1||2063774||4||8
2400000106,2063774,2836861,1||2063774||7||30
2400000106,2063774,2836861,1||2063774||18||49
2400000106,2063774,3155734,1||2063774||2||4
2400000106,2063774,3212115,1||2063774||13||22
2400000106,2063774,3212117,1||2063774||13||23
2400000106,2063774,3212118,1||2063774||9||21
2400000106,2063774,3223507,1||2063774||3||12
2400000106,2063774,3223507,1||2063774||4||6
2400000106,2063774,3223507,1||2063774||10||19
2400000106,2063774,3223507,1||2063774||20||51
2400000106,2063774,3285941,1||2063774||1||2
2400000106,2063774,3456043,1||2063774||4||10
2400000106,2063774,3787299,1||2063774||4||5
2400000106,2063774,3797971,1||2063774||8||29
2400000106,2063774,4707539,1||2063774||19||42
2400000106,2063774,4707539,1||2063774||20||42
2400000106,2063774,4723032,1||2063774||12||34
2400000106,2063774,4725102,1||2063774||19||43
2400000106,2063774,4728486,1||2063774||19||44
2400000106,2063774,4737393,1||2063774||12||3
2400000106,2063774,4744461,1||2063774||19||46
2400000106,2063774,4744523,1||2063774||6||27
2400000106,2063774,4750624,1||2063774||6||25
2400000106,2063774,5482248,1||2063774||16||37
2400000106,2063774,5495414,1||2063774||1||1
2400000106,2063774,5935969,1||2063774||6||28
2400000106,2063774,6211533,1||2063774||4||13
2400000106,2063774,6211569,1||2063774||10||14
2400000106,2063774,6211570,1||2063774||10||15
2400000106,2063774,6211571,1||2063774||10||16
2400000106,2063774,6211572,1||2063774||10||17
2400000106,2063774,6211573,1||2063774||10||18
2400000106,2063774,6211578,1||2063774||5||20
2400000106,2063774,6211590,1||2063774||13||24
2400000106,2063774,6220105,1||2063774||15||39
2400000106,2063774,6220106,1||2063774||15||38
2400000106,2063774,6220112,1||2063774||14||33
