numar_factura,data
2400000000,1/3/2024
2400000002,1/4/2024
2400000011,1/9/2024
2400000012,1/9/2024
2400000013,1/9/2024
2400000023,1/15/2024
2400000029,1/16/2024
2400000031,1/18/2024
2400000034,1/20/2024
2400000037,1/25/2024
2400000039,1/25/2024
2400000040,1/25/2024
2400000046,1/30/2024
2400000053,2/1/2024
2400000057,2/2/2024
2400000062,2/6/2024
2400000063,2/6/2024
2400000065,2/8/2024
2400000066,2/8/2024
2400000067,2/8/2024
2400000083,2/17/2024
2400000088,2/21/2024
2400000091,2/23/2024
2400000095,2/28/2024
2400000101,3/1/2024
2400000102,3/1/2024
2400000105,3/5/2024
2400000106,3/5/2024
2400000111,3/7/2024
2410000005,1/3/2024
2410000026,1/3/2024
2410000028,1/3/2024
2410000038,1/3/2024
2410000039,1/3/2024
2410000041,1/3/2024
2410000043,1/3/2024
2410000045,1/4/2024
2410000054,1/4/2024
2410000068,1/4/2024
2410000083,1/4/2024
2410000085,1/4/2024
2410000087,1/4/2024
2410000088,1/4/2024
2410000090,1/4/2024
2410000095,1/4/2024
2410000098,1/4/2024
2410000108,1/5/2024
2410000109,1/5/2024
2410000111,1/5/2024
2410000113,1/5/2024
2410000126,1/5/2024
2410000133,1/5/2024
2410000134,1/5/2024
2410000138,1/5/2024
2410000157,1/5/2024
2410000165,1/5/2024
2410000167,1/5/2024
2410000170,1/5/2024
2410000179,1/5/2024
2410000183,1/5/2024
2410000184,1/5/2024
2410000191,1/5/2024
2410000198,1/5/2024
2410000215,1/5/2024
2410000217,1/5/2024
2410000267,1/5/2024
2410000274,1/5/2024
2410000288,1/5/2024
2410000289,1/5/2024
2410000291,1/5/2024
2410000293,1/5/2024
2410000308,1/5/2024
2410000311,1/5/2024
2410000314,1/5/2024
2410000318,1/5/2024
2410000319,1/5/2024
2410000329,1/5/2024
2410000330,1/5/2024
2410000331,1/5/2024
2410000334,1/5/2024
2410000341,1/5/2024
2410000350,1/5/2024
2410000356,1/5/2024
2410000362,1/5/2024
2410000372,1/5/2024
2410000381,1/5/2024
2410000383,1/5/2024
2410000396,1/5/2024
2410000398,1/5/2024
2410000400,1/5/2024
2410000402,1/5/2024
2410000403,1/5/2024
2410000404,1/5/2024
2410000409,1/5/2024
2410000411,1/5/2024
2410000412,1/5/2024
2410000417,1/5/2024
2410000422,1/5/2024
2410000424,1/5/2024
2410000427,1/5/2024
2410000434,1/8/2024
2410000441,1/8/2024
2410000443,1/8/2024
2410000449,1/8/2024
2410000450,1/8/2024
2410000454,1/8/2024
2410000457,1/8/2024
2410000461,1/8/2024
2410000472,1/8/2024
2410000473,1/8/2024
2410000478,1/8/2024
2410000484,1/8/2024
2410000489,1/8/2024
2410000490,1/8/2024
2410000516,1/8/2024
2410000517,1/8/2024
2410000520,1/8/2024
2410000521,1/8/2024
2410000524,1/8/2024
2410000533,1/8/2024
2410000535,1/8/2024
2410000542,1/8/2024
2410000558,1/8/2024
2410000565,1/8/2024
2410000566,1/8/2024
2410000576,1/8/2024
2410000578,1/8/2024
2410000583,1/8/2024
2410000587,1/8/2024
2410000596,1/8/2024
2410000597,1/8/2024
2410000599,1/8/2024
2410000601,1/8/2024
2410000612,1/8/2024
2410000618,1/8/2024
2410000620,1/8/2024
2410000621,1/8/2024
2410000623,1/8/2024
2410000633,1/8/2024
2410000635,1/8/2024
2410000642,1/8/2024
2410000645,1/8/2024
2410000646,1/8/2024
2410000647,1/8/2024
2410000648,1/8/2024
2410000650,1/8/2024
2410000653,1/8/2024
2410000658,1/8/2024
2410000667,1/8/2024
2410000678,1/8/2024
2410000681,1/8/2024
2410000690,1/8/2024
2410000693,1/8/2024
2410000704,1/8/2024
2410000705,1/8/2024
2410000719,1/8/2024
2410000723,1/8/2024
2410000731,1/8/2024
2410000732,1/8/2024
2410000738,1/8/2024
2410000740,1/8/2024
2410000743,1/8/2024
2410000749,1/8/2024
2410000770,1/9/2024
2410000771,1/9/2024
2410000772,1/9/2024
2410000773,1/9/2024
2410000775,1/9/2024
2410000778,1/9/2024
2410000782,1/9/2024
2410000786,1/9/2024
2410000793,1/9/2024
2410000799,1/9/2024
2410000802,1/9/2024
2410000804,1/9/2024
2410000805,1/9/2024
2410000810,1/9/2024
2410000821,1/9/2024
2410000824,1/9/2024
2410000825,1/9/2024
2410000826,1/9/2024
2410000831,1/9/2024
2410000833,1/9/2024
2410000835,1/9/2024
2410000840,1/9/2024
2410000844,1/9/2024
2410000847,1/9/2024
2410000849,1/9/2024
2410000855,1/9/2024
2410000867,1/9/2024
2410000868,1/9/2024
2410000869,1/9/2024
2410000870,1/9/2024
2410000871,1/9/2024
2410000872,1/9/2024
2410000881,1/9/2024
2410000888,1/9/2024
2410000889,1/9/2024
2410000896,1/9/2024
2410000901,1/9/2024
2410000914,1/9/2024
2410000922,1/9/2024
2410000924,1/9/2024
2410000925,1/9/2024
2410000929,1/9/2024
2410000930,1/9/2024
2410000931,1/9/2024
2410000944,1/9/2024
2410000945,1/9/2024
2410000947,1/9/2024
2410000958,1/9/2024
2410000969,1/9/2024
2410000970,1/9/2024
2410000971,1/9/2024
2410000972,1/9/2024
2410000989,1/9/2024
2410000994,1/9/2024
2410001006,1/10/2024
2410001014,1/10/2024
2410001026,1/10/2024
2410001029,1/10/2024
2410001030,1/10/2024
2410001032,1/10/2024
2410001037,1/10/2024
2410001042,1/10/2024
2410001043,1/10/2024
2410001047,1/10/2024
2410001056,1/10/2024
2410001057,1/10/2024
2410001058,1/10/2024
2410001062,1/10/2024
2410001077,1/10/2024
2410001080,1/10/2024
2410001086,1/10/2024
2410001087,1/10/2024
2410001092,1/10/2024
2410001093,1/10/2024
2410001097,1/10/2024
2410001100,1/10/2024
2410001102,1/10/2024
2410001107,1/10/2024
2410001131,1/10/2024
2410001132,1/10/2024
2410001136,1/10/2024
2410001143,1/10/2024
2410001145,1/10/2024
2410001147,1/10/2024
2410001154,1/10/2024
2410001156,1/10/2024
2410001158,1/10/2024
2410001168,1/10/2024
2410001174,1/10/2024
2410001181,1/10/2024
2410001184,1/10/2024
2410001194,1/10/2024
2410001195,1/10/2024
2410001199,1/10/2024
2410001202,1/10/2024
2410001203,1/10/2024
2410001206,1/10/2024
2410001212,1/10/2024
2410001215,1/10/2024
2410001216,1/10/2024
2410001222,1/10/2024
2410001236,1/10/2024
2410001240,1/10/2024
2410001241,1/10/2024
2410001255,1/10/2024
2410001256,1/10/2024
2410001257,1/10/2024
2410001258,1/10/2024
2410001260,1/10/2024
2410001261,1/10/2024
2410001271,1/11/2024
2410001277,1/11/2024
2410001278,1/11/2024
2410001281,1/11/2024
2410001283,1/11/2024
2410001286,1/11/2024
2410001288,1/11/2024
2410001290,1/11/2024
2410001292,1/11/2024
2410001296,1/11/2024
2410001303,1/11/2024
2410001308,1/11/2024
2410001311,1/11/2024
2410001312,1/11/2024
2410001313,1/11/2024
2410001318,1/11/2024
2410001326,1/11/2024
2410001327,1/11/2024
2410001331,1/11/2024
2410001332,1/11/2024
2410001338,1/11/2024
2410001344,1/11/2024
2410001345,1/11/2024
2410001348,1/11/2024
2410001352,1/11/2024
2410001354,1/11/2024
2410001356,1/11/2024
2410001361,1/11/2024
2410001374,1/11/2024
2410001379,1/11/2024
2410001398,1/11/2024
2410001411,1/11/2024
2410001415,1/11/2024
2410001423,1/11/2024
2410001426,1/11/2024
2410001430,1/11/2024
2410001441,1/11/2024
2410001442,1/11/2024
2410001446,1/11/2024
2410001447,1/11/2024
2410001450,1/11/2024
2410001451,1/11/2024
2410001456,1/11/2024
2410001457,1/11/2024
2410001468,1/11/2024
2410001472,1/11/2024
2410001473,1/11/2024
