sucursala,numar_comanda
Bragadiru,1937489
Bragadiru,1976809
Bragadiru,1985440
Bragadiru,1992020
Bragadiru,1999373
Bragadiru,2003944
Bragadiru,2004872
Bragadiru,2006451
Bragadiru,2007015
Bragadiru,2007030
Bragadiru,2013540
Bragadiru,2014736
Bragadiru,2017177
Bragadiru,2020216
Bragadiru,2020220
Bragadiru,2020996
Bragadiru,2028154
Bragadiru,2028525
Bragadiru,2028825
Bragadiru,2029351
Bragadiru,2030318
Bragadiru,2032508
Bragadiru,2033954
Bragadiru,2034020
Bragadiru,2034892
Bragadiru,2035240
Bragadiru,2035893
Bragadiru,2035896
Bragadiru,2036367
Bragadiru,2036526
Bragadiru,2036529
Bragadiru,2036631
Bragadiru,2036649
Bragadiru,2036748
Bragadiru,2036931
Bragadiru,2037094
Bragadiru,2037503
Bragadiru,2037674
Bragadiru,2037745
Bragadiru,2037847
Bragadiru,2037878
Bragadiru,2038214
Bragadiru,2038331
Bragadiru,2038360
Bragadiru,2038453
Bragadiru,2038516
Bragadiru,2038523
Bragadiru,2038564
Bragadiru,2038590
Bragadiru,2038779
Bragadiru,2038907
Bragadiru,2038982
Bragadiru,2039118
Bragadiru,2039314
Bragadiru,2039350
Bragadiru,2039386
Bragadiru,2039430
Bragadiru,2039520
Bragadiru,2039889
Bragadiru,2040346
Bragadiru,2040405
Bragadiru,2040533
Bragadiru,2040655
Bragadiru,2040881
Bragadiru,2041040
Bragadiru,2041108
Bragadiru,2041602
Bragadiru,2041664
Bragadiru,2041724
Bragadiru,2042066
Bragadiru,2042336
Bragadiru,2042613
Bragadiru,2043013
Bragadiru,2043255
Bragadiru,2043404
Bragadiru,2043683
Bragadiru,2043894
Bragadiru,2044200
Bragadiru,2044263
Bragadiru,2044485
Bragadiru,2044530
Bragadiru,2044754
Bragadiru,2044801
Bragadiru,2044860
Bragadiru,2044902
Bragadiru,2044912
Bragadiru,2044958
Bragadiru,2045123
Bragadiru,2045483
Bragadiru,2045501
Bragadiru,2045508
Bragadiru,2045728
Bragadiru,2045963
Bragadiru,2046029
Bragadiru,2046108
Bragadiru,2046155
Bragadiru,2046226
Bragadiru,2046289
Bragadiru,2046462
Bragadiru,2046654
Bragadiru,2046686
Bragadiru,2046936
Bragadiru,2047009
Bragadiru,2047242
Bragadiru,2047493
Bragadiru,2047797
Bragadiru,2047890
Bragadiru,2048557
Bragadiru,2049166
Bragadiru,2049554
Bragadiru,2049622
Bragadiru,2049730
Bragadiru,2049794
Bragadiru,2049968
Bragadiru,2050041
Bragadiru,2050165
Bragadiru,2050189
Bragadiru,2050208
Bragadiru,2050971
Bragadiru,2051620
Bragadiru,2051840
Bragadiru,2052019
Bragadiru,2053080
Bragadiru,2053492
Bragadiru,2053871
Bragadiru,2053901
Bragadiru,2053994
Bragadiru,2054267
Bragadiru,2054632
Bragadiru,2054835
Bragadiru,2055492
Bragadiru,2055504
Bragadiru,2055566
Bragadiru,2055862
Bragadiru,2055961
Bragadiru,2056210
Bragadiru,2056238
Bragadiru,2056378
Bragadiru,2056535
Bragadiru,2056571
Bragadiru,2056683
Bragadiru,2056871
Bragadiru,2057032
Bragadiru,2057178
Bragadiru,2057188
Bragadiru,2057322
Bragadiru,2058107
Bragadiru,2058154
Bragadiru,2058182
Bragadiru,2058889
Bragadiru,2059441
Bragadiru,2059469
Bragadiru,2060094
Bragadiru,2060104
Bragadiru,2060203
Bragadiru,2060801
Bragadiru,2060848
Bragadiru,2060880
Bragadiru,2060965
Bragadiru,2060984
Bragadiru,2061269
Bragadiru,2061283
Bragadiru,2061500
Bragadiru,2061630
Bragadiru,2061743
Bragadiru,2061840
Bragadiru,2061926
Bragadiru,2062351
Bragadiru,2062556
Bragadiru,2062780
Bragadiru,2063026
Bragadiru,2063477
Bragadiru,2063604
Bragadiru,2063623
Bragadiru,2063671
Bragadiru,2063731
Bragadiru,2063744
Bragadiru,2063774
Bragadiru,2063836
Bragadiru,2064010
Bragadiru,2064023
Bragadiru,2064086
Bragadiru,2064123
Bragadiru,2064646
Bragadiru,2064665
Bragadiru,2064731
Bragadiru,2064839
Bragadiru,2065163
Bragadiru,2065192
Bragadiru,2065246
Bragadiru,2065386
Bragadiru,2065523
Bragadiru,2065683
Bragadiru,2066207
Bragadiru,2066255
Bragadiru,2066304
Bragadiru,2066391
Bragadiru,2066489
Bragadiru,2066505
Bragadiru,2066629
Bragadiru,2066689
Bragadiru,2066827
Bragadiru,2066860
Bragadiru,2066931
Bragadiru,2066940
Bragadiru,2067030
Bragadiru,2067184
Bragadiru,2067211
Bragadiru,2067445
Bragadiru,2067501
Bragadiru,2067558
Bragadiru,2067967
Bragadiru,2068284
Bragadiru,2068516
Bragadiru,2068570
Bragadiru,2068633
Bragadiru,2068668
Bragadiru,2068909
Bragadiru,2069033
Bragadiru,2069559
Bragadiru,2069560
Bragadiru,2069669
Bragadiru,2069782
Bragadiru,2070204
Bragadiru,2070213
Bragadiru,2070242
Bragadiru,2070500
Bragadiru,2070561
Bragadiru,2070707
Bragadiru,2070835
Bragadiru,2071004
Bragadiru,2071518
Bragadiru,2071750
Bragadiru,2071761
Bragadiru,2072026
Bragadiru,2072045
Bragadiru,2072107
Bragadiru,2072259
Bragadiru,2072375
Bragadiru,2072466
Bragadiru,2072546
Bragadiru,2072691
Bragadiru,2072711
Bragadiru,2072801
Bragadiru,2072889
Bragadiru,2072992
Bragadiru,2073047
Bragadiru,2073474
Bragadiru,2073510
Bragadiru,2073788
Bragadiru,2074107
Bragadiru,2074229
Bragadiru,2074265
Bragadiru,2074320
Bragadiru,2074396
Bragadiru,2074428
Bragadiru,2074489
Bragadiru,2074588
Bragadiru,2074623
Bragadiru,2074763
Bragadiru,2075340
Bragadiru,2075717
Bragadiru,2075792
Bragadiru,2075808
Bragadiru,2075838
Bragadiru,2076347
Bragadiru,2076458
Bragadiru,2076675
Bragadiru,2077162
Bragadiru,2077198
Bragadiru,2077261
Bragadiru,2077317
Bragadiru,2077370
Bragadiru,2077432
Bragadiru,2077467
Bragadiru,2077556
Bragadiru,2077575
Bragadiru,2077605
Bragadiru,2077851
Bragadiru,2079419
Bragadiru,2082022
Bragadiru,2082489
Bragadiru,2083118
Bragadiru,2083532
Bragadiru,2084828
Bragadiru,2084852
Bragadiru,2084869
Bragadiru,2084917
Bragadiru,2085087
Bragadiru,2085195
Bragadiru,2085263
Bragadiru,2085290
Bragadiru,2085825
Bragadiru,2085944
Bragadiru,2085974
Bragadiru,2086008
Bragadiru,2086025
Bragadiru,2086035
Bragadiru,2086043
Bragadiru,2086052
Bragadiru,2086055
Bragadiru,2086074
Bragadiru,2086120
Bragadiru,2086284
Bragadiru,2086302
Bragadiru,2086367
Bragadiru,2086508
Bragadiru,2086531
Bragadiru,2086592
Bragadiru,2086597
Bragadiru,2086632
Bragadiru,2086644
Bragadiru,2086880
Bragadiru,2087229
Bragadiru,2087473
Bragadiru,2087844
Bragadiru,2087885
Bragadiru,2087923
Bragadiru,2087946
Bragadiru,2088151
Bragadiru,2088488
Bragadiru,2088529
Bragadiru,2088559
Bragadiru,2088601
Bragadiru,2088911
Bragadiru,2089191
Bragadiru,2089238
Bragadiru,2089380
Bragadiru,2089773
Bragadiru,2089776
Bragadiru,2089955
Bragadiru,2090022
Bragadiru,2090029
Bragadiru,2090093
Bragadiru,2090105
Bragadiru,2090145
Bragadiru,2090176
Bragadiru,2090536
Bragadiru,2090884
Bragadiru,2091283
Bragadiru,2091580
Bragadiru,2091683
Bragadiru,2091827
Bragadiru,2091945
Bragadiru,2092186
Bragadiru,2092244
Bragadiru,2092404
Bragadiru,2092645
Bragadiru,2092813
Bragadiru,2092823
Bragadiru,2093484
Bragadiru,2093490
Bragadiru,2093736
Bragadiru,2093759
Bragadiru,2093948
Bragadiru,2094014
Bragadiru,2095050
Bragadiru,2095110
Bragadiru,2095227
Bragadiru,2095645
Bragadiru,2096160
Bragadiru,2096505
Bragadiru,2096759
Bragadiru,2097929
Bragadiru,2098065
Brasov,1911603
Brasov,1936449
Brasov,1961571
Brasov,2004090
Brasov,2010908
Brasov,2019205
Brasov,2024389
Brasov,2024512
Brasov,2026023
Brasov,2027199
Brasov,2028787
Brasov,2028983
Brasov,2029229
Brasov,2029480
Brasov,2029543
Brasov,2029609
Brasov,2030161
Brasov,2030294
Brasov,2031210
Brasov,2031703
Brasov,2031780
Brasov,2032122
Brasov,2032499
